Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Kecepatan angin rata-rata (m/s),Label,season_Musim Hujan
2008-03-12,22.0,31.9,24.7,88.0,23.6,6.8,3.0,1.0,0,1
2008-03-13,21.0,31.6,24.2,90.0,104.5,4.7,3.0,1.0,0,1
2008-03-14,21.0,31.0,24.2,92.0,18.6,5.6,2.0,0.0,0,1
2008-03-15,22.0,30.6,24.5,91.0,28.6,4.0,2.0,0.0,0,1
2008-03-16,22.0,30.5,24.5,90.0,45.5,5.5,3.0,0.0,0,1
2008-03-17,22.0,31.1,24.9,90.0,75.8,4.9,3.0,1.0,0,1
2008-03-18,21.0,31.8,24.4,90.0,59.3,5.8,3.0,1.0,0,1
2008-03-19,21.0,31.9,24.5,89.0,23.1,5.4,2.0,1.0,0,1
2008-03-20,22.0,30.3,25.0,93.0,10.7,3.6,0.0,0.0,0,1
2008-03-21,22.0,30.8,25.2,90.0,8.5,2.9,2.0,0.0,0,1
2008-03-22,21.0,31.1,24.6,88.0,13.0,4.3,0.0,0.0,0,1
2008-03-23,22.0,29.7,25.4,82.0,37.4,1.6,5.0,1.0,0,1
2008-03-24,22.0,31.3,25.2,83.0,0.5,3.8,3.0,2.0,0,1
2008-03-25,22.0,30.5,25.1,89.0,15.0,3.6,3.0,1.0,0,1
2008-03-26,22.0,32.0,26.4,76.0,1.7,7.4,4.0,0.0,0,1
2008-03-27,23.0,30.6,26.1,82.0,0.0,4.5,5.0,2.0,0,1
2008-03-28,23.0,31.2,26.3,80.0,4.4,2.3,3.0,1.0,0,1
2008-03-29,22.0,33.0,27.3,78.0,0.0,6.7,2.0,1.0,0,1
2008-03-30,24.0,32.6,26.2,84.0,0.0,3.9,5.0,1.0,0,1
2008-03-31,22.0,31.5,25.1,87.0,0.5,4.6,3.0,1.0,0,1
2008-04-01,21.0,31.9,24.9,86.0,48.5,5.4,2.0,1.0,0,0
2008-04-02,21.0,32.3,25.2,84.0,5.5,6.8,2.0,1.0,0,0
