,Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Kecepatan angin rata-rata (m/s),Label,season_Musim Hujan
81,2008-03-22,21.0,31.1,24.6,88.0,13.0,4.3,0.0,0.0,0,1
82,2008-03-23,22.0,29.7,25.4,82.0,37.4,1.6,5.0,1.0,0,1
83,2008-03-24,22.0,31.3,25.2,83.0,0.5,3.8,3.0,2.0,0,1
84,2008-03-25,22.0,30.5,25.1,89.0,15.0,3.6,3.0,1.0,0,1
85,2008-03-26,22.0,32.0,26.4,76.0,1.7,7.4,4.0,0.0,0,1
86,2008-03-27,23.0,30.6,26.1,82.0,0.0,4.5,5.0,2.0,0,1
87,2008-03-28,23.0,31.2,26.3,80.0,4.4,2.3,3.0,1.0,0,1
88,2008-03-29,22.0,33.0,27.3,78.0,0.0,6.7,2.0,1.0,0,1
89,2008-03-30,24.0,32.6,26.2,84.0,0.0,3.9,5.0,1.0,0,1
90,2008-03-31,22.0,31.5,25.1,87.0,0.5,4.6,3.0,1.0,0,1
91,2008-04-01,21.0,31.9,24.9,86.0,48.5,5.4,2.0,1.0,0,0
92,2008-04-02,21.0,32.3,25.2,84.0,5.5,6.8,2.0,1.0,0,0
93,2008-04-03,21.0,32.8,26.0,79.0,0.4,8.0,3.0,1.0,0,0
94,2008-04-04,22.0,31.4,26.0,82.0,0.0,6.1,4.0,1.0,0,0
95,2008-04-05,22.0,33.6,25.1,83.0,0.0,7.8,5.0,1.0,0,0
96,2008-04-06,22.0,32.4,24.9,87.0,6.8,6.0,4.0,1.0,0,0
97,2008-04-07,21.0,32.8,25.9,81.0,67.5,7.6,4.0,1.0,0,0
98,2008-04-08,21.0,31.8,25.7,85.0,34.5,6.3,2.0,2.0,0,0
99,2008-04-09,22.0,32.2,25.9,85.0,6.0,6.6,3.0,1.0,0,0
100,2008-04-10,22.0,32.3,25.0,89.0,5.0,5.4,3.0,1.0,0,0
101,2008-04-11,23.0,32.2,25.1,90.0,2.9,5.5,5.0,0.0,0,0
102,2008-04-12,22.0,28.0,23.9,94.0,51.0,0.5,2.0,1.0,1,0
103,2008-04-13,22.0,30.6,25.5,87.0,49.2,5.9,2.0,0.0,0,0
104,2008-04-14,23.0,30.4,24.6,90.0,0.0,2.6,2.0,0.0,0,0
105,2008-04-15,22.0,31.5,25.6,84.0,6.8,5.8,3.0,0.0,0,0
106,2008-04-16,23.0,31.0,25.3,89.0,41.7,2.3,5.0,1.0,0,0
107,2008-04-17,22.0,31.8,26.5,84.0,45.5,6.6,1.0,0.0,0,0
108,2008-04-18,23.0,32.2,25.4,88.0,0.0,5.8,5.0,0.0,0,0
109,2008-04-19,23.0,30.5,25.7,88.0,43.6,3.5,2.0,1.0,0,0
110,2008-04-20,22.0,31.2,25.4,86.0,0.0,3.6,4.0,0.0,0,0
111,2008-04-21,23.0,30.6,25.8,84.0,29.1,1.3,2.0,1.0,0,0
112,2008-04-22,23.0,28.2,25.5,92.0,7.9,1.2,0.0,1.0,0,0
113,2008-04-23,23.0,28.8,25.8,90.0,12.5,0.9,1.0,0.0,0,0
114,2008-04-24,22.0,30.0,24.7,90.0,0.2,3.8,2.0,0.0,0,0
115,2008-04-25,23.0,31.4,26.0,86.0,0.0,5.7,2.0,0.0,0,0
116,2008-04-26,23.0,31.7,26.3,84.0,0.0,6.3,1.0,1.0,0,0
117,2008-04-27,23.0,32.6,26.8,84.0,14.0,8.0,3.0,0.0,0,0
118,2008-04-28,23.0,32.7,27.1,82.0,0.0,6.8,2.0,0.0,0,0
119,2008-04-29,23.0,32.5,26.0,86.0,0.0,6.6,4.0,1.0,0,0
120,2008-04-30,23.0,32.4,25.3,89.0,48.4,7.1,2.0,1.0,0,0
121,2008-05-01,22.0,30.4,25.5,88.0,17.0,2.5,2.0,1.0,0,0
122,2008-05-02,23.0,31.3,26.3,82.0,0.0,4.8,1.0,0.0,0,0
123,2008-05-03,23.0,32.9,26.7,81.0,0.0,6.4,2.0,0.0,0,0
124,2008-05-04,24.0,32.6,26.2,87.0,1.5,6.0,5.0,1.0,0,0
125,2008-05-05,23.0,31.7,26.4,83.0,2.6,7.6,2.0,1.0,0,0
126,2008-05-06,23.0,32.1,26.5,83.0,0.0,3.0,2.0,1.0,0,0
127,2008-05-07,22.0,31.4,24.9,86.0,70.0,6.4,2.0,1.0,0,0
128,2008-05-08,22.0,32.2,25.8,83.0,0.0,7.2,4.0,1.0,0,0
129,2008-05-09,22.0,32.1,26.4,77.0,0.0,8.0,2.0,1.0,0,0
130,2008-05-10,22.0,31.7,25.7,82.0,0.0,6.7,3.0,1.0,0,0
131,2008-05-11,20.0,31.7,24.9,74.0,1.3,6.4,2.0,1.0,0,0
132,2008-05-12,20.0,31.9,24.9,74.0,0.0,7.1,2.0,1.0,0,0
133,2008-05-13,20.0,30.8,24.9,79.0,0.0,6.5,2.0,1.0,0,0
134,2008-05-14,22.0,31.6,26.1,79.0,6.4,6.7,3.0,1.0,0,0
135,2008-05-15,22.0,30.2,25.4,85.0,24.7,5.0,2.0,1.0,0,0
136,2008-05-16,21.0,32.2,25.6,80.0,0.0,7.8,2.0,0.0,0,0
137,2008-05-17,21.0,31.4,25.6,82.0,1.0,7.3,2.0,1.0,0,0
138,2008-05-18,22.0,31.8,26.2,80.0,0.0,7.2,2.0,0.0,0,0
139,2008-05-19,21.0,32.2,26.0,82.0,43.5,7.9,2.0,1.0,0,0
140,2008-05-20,23.0,31.6,25.9,89.0,41.6,5.6,2.0,1.0,0,0
141,2008-05-21,23.0,31.2,26.0,86.0,24.1,4.8,3.0,0.0,0,0
142,2008-05-22,22.0,32.0,25.8,85.0,0.4,6.2,2.0,0.0,0,0
143,2008-05-23,23.0,31.8,26.5,85.0,9.5,8.0,1.0,1.0,0,0
144,2008-05-24,23.0,31.9,25.6,86.0,0.0,7.2,8.0,0.0,0,0
145,2008-05-25,22.0,31.6,25.6,84.0,23.5,6.2,1.0,1.0,0,0
146,2008-05-26,21.0,32.3,26.1,78.0,0.0,7.7,1.0,0.0,0,0
147,2008-05-27,20.0,31.5,25.6,84.0,0.0,5.8,3.0,0.0,0,0
148,2008-05-28,22.0,32.2,26.0,80.0,0.0,7.3,2.0,1.0,0,0
149,2008-05-29,22.0,32.6,26.6,80.0,0.0,7.9,3.0,0.0,0,0
150,2008-05-30,22.0,32.2,26.2,79.0,0.0,7.3,3.0,0.0,0,0
151,2008-05-31,22.0,31.0,24.7,87.0,0.0,5.1,3.0,0.0,0,0
152,2008-06-01,22.0,30.1,25.1,88.0,45.5,6.1,2.0,1.0,0,0
153,2008-06-02,22.0,31.5,26.0,81.0,0.0,7.3,2.0,0.0,0,0
154,2008-06-03,22.0,31.8,25.9,83.0,0.0,6.9,2.0,0.0,0,0
155,2008-06-04,22.0,32.2,25.4,84.0,0.1,6.3,2.0,1.0,0,0
156,2008-06-05,21.0,32.7,26.1,80.0,0.0,7.6,3.0,1.0,0,0
157,2008-06-06,22.0,31.2,25.4,84.0,0.0,6.9,3.0,1.0,0,0
158,2008-06-07,21.0,31.8,25.5,83.0,24.3,7.8,2.0,1.0,0,0
159,2008-06-08,21.0,30.5,25.3,83.0,0.0,4.3,2.0,0.0,0,0
160,2008-06-09,21.0,31.8,25.2,80.0,0.0,5.6,2.0,0.0,0,0
161,2008-06-10,22.0,32.4,25.0,85.0,0.1,3.8,8.0,1.0,0,0
162,2008-06-11,22.0,30.8,25.5,85.0,33.0,2.7,1.0,1.0,0,0
163,2008-06-12,23.0,31.2,25.8,88.0,0.0,5.4,1.0,0.0,0,0
164,2008-06-13,22.0,31.3,24.9,90.0,34.0,4.9,3.0,1.0,0,0
165,2008-06-14,22.0,28.5,25.1,90.0,1.7,0.5,3.0,1.0,0,0
166,2008-06-15,23.0,29.6,25.2,90.0,1.0,0.9,2.0,0.0,0,0
167,2008-06-16,23.0,31.7,26.4,84.0,3.9,7.5,2.0,0.0,0,0
168,2008-06-17,24.0,32.0,26.6,84.0,0.0,6.9,3.0,0.0,0,0
169,2008-06-18,22.0,31.6,25.9,83.0,0.4,7.1,2.0,1.0,0,0
170,2008-06-19,22.0,31.7,25.6,82.0,0.0,7.5,2.0,0.0,0,0
171,2008-06-20,20.0,31.6,24.4,81.0,1.4,7.4,2.0,1.0,0,0
172,2008-06-21,21.0,31.5,24.9,81.0,0.0,8.0,1.0,0.0,0,0
173,2008-06-22,21.0,30.7,24.8,82.0,4.8,7.7,2.0,0.0,0,0
174,2008-06-23,22.0,32.2,26.2,78.0,0.1,8.0,2.0,0.0,0,0
175,2008-06-24,21.0,31.6,25.2,83.0,12.0,7.6,2.0,0.0,0,0
176,2008-06-25,22.0,31.8,26.1,79.0,0.0,7.9,1.0,0.0,0,0
177,2008-06-26,22.0,32.0,25.9,80.0,0.0,7.5,2.0,1.0,0,0
178,2008-06-27,22.0,32.5,26.2,82.0,0.0,7.3,3.0,1.0,0,0
179,2008-06-28,22.0,31.5,26.2,83.0,9.2,7.8,2.0,1.0,0,0
180,2008-06-29,22.0,32.1,26.3,83.0,0.0,7.2,3.0,0.0,0,0
181,2008-06-30,21.0,32.0,25.6,80.0,0.0,7.4,1.0,1.0,0,0
182,2008-07-01,22.0,32.0,25.8,82.0,0.0,7.5,2.0,0.0,0,0
183,2008-07-02,22.0,31.9,25.7,78.0,0.0,7.7,1.0,1.0,0,0
184,2008-07-03,21.0,32.0,25.5,75.0,0.0,8.0,2.0,0.0,0,0
185,2008-07-04,21.0,31.6,24.6,84.0,0.0,5.0,3.0,0.0,0,0
186,2008-07-05,20.0,31.8,25.2,80.0,102.2,7.3,1.0,1.0,0,0
187,2008-07-06,19.0,31.8,24.4,72.0,0.0,7.9,1.0,1.0,0,0
188,2008-07-07,20.0,32.4,25.5,73.0,0.0,8.0,2.0,1.0,0,0
189,2008-07-08,21.0,32.3,25.6,76.0,0.0,8.0,2.0,0.0,0,0
190,2008-07-09,20.0,32.2,25.7,76.0,0.0,7.9,2.0,1.0,0,0
191,2008-07-10,20.0,31.6,25.7,79.0,0.0,6.5,2.0,0.0,0,0
192,2008-07-11,21.0,31.9,25.8,73.0,0.0,7.3,1.0,1.0,0,0
193,2008-07-12,22.0,32.2,26.2,77.0,0.0,7.9,3.0,1.0,0,0
194,2008-07-13,21.0,33.3,26.0,73.0,0.0,7.4,4.0,1.0,0,0
195,2008-07-14,22.0,32.8,26.4,78.0,0.0,7.3,2.0,1.0,0,0
196,2008-07-15,22.0,32.4,24.4,86.0,0.0,7.1,4.0,0.0,0,0
197,2008-07-16,20.0,30.6,24.6,82.0,52.0,6.6,3.0,1.0,0,0
198,2008-07-17,19.0,31.5,24.2,74.0,0.0,8.0,0.0,0.0,0,0
199,2008-07-18,20.0,31.9,24.6,78.0,0.0,7.6,2.0,0.0,0,0
200,2008-07-19,20.0,32.6,25.4,77.0,0.6,7.9,2.0,1.0,0,0
201,2008-07-20,21.0,31.5,25.3,79.0,0.0,8.0,3.0,0.0,0,0
202,2008-07-21,20.0,32.8,25.0,78.0,0.0,7.5,2.0,1.0,0,0
203,2008-07-22,20.0,31.6,24.6,75.0,3.6,7.2,2.0,1.0,0,0
204,2008-07-23,20.0,31.8,24.8,75.0,0.0,7.8,2.0,1.0,0,0
205,2008-07-24,20.0,31.6,25.1,72.0,0.0,7.6,3.0,1.0,0,0
206,2008-07-25,20.0,31.6,25.0,77.0,0.0,7.4,2.0,0.0,0,0
207,2008-07-26,21.0,31.2,25.8,81.0,0.0,7.3,2.0,1.0,0,0
208,2008-07-27,22.0,31.9,25.1,84.0,0.4,6.7,2.0,1.0,0,0
209,2008-07-28,20.0,32.8,25.3,74.0,13.6,7.9,3.0,1.0,0,0
210,2008-07-29,21.0,31.0,25.0,80.0,0.0,6.4,2.0,1.0,0,0
211,2008-07-30,20.0,32.3,25.1,78.0,0.0,8.0,1.0,0.0,0,0
212,2008-07-31,21.0,32.8,25.8,80.0,0.0,8.0,2.0,1.0,0,0
213,2008-08-01,23.0,32.7,26.8,81.0,6.6,7.5,1.0,1.0,0,0
214,2008-08-02,20.0,32.1,25.8,83.0,0.0,5.2,3.0,1.0,0,0
215,2008-08-03,20.0,31.4,25.0,80.0,22.5,8.0,2.0,1.0,0,0
216,2008-08-04,21.0,31.8,25.1,75.0,11.25,7.9,4.0,1.0,0,0
217,2008-08-05,22.0,32.9,26.1,74.0,0.0,8.0,2.0,1.0,0,0
218,2008-08-06,22.0,32.3,24.9,82.0,0.0,6.2,2.0,1.0,0,0
219,2008-08-07,22.0,32.2,26.2,76.0,9.5,8.0,1.0,1.0,0,0
220,2008-08-08,22.0,32.2,25.9,72.0,0.0,7.6,1.0,1.0,0,0
221,2008-08-09,22.0,32.9,26.5,71.0,0.0,7.7,2.0,1.0,0,0
222,2008-08-10,22.0,30.8,26.1,77.0,0.0,0.8,1.0,1.0,0,0
223,2008-08-11,24.0,32.4,26.3,78.0,0.0,4.0,2.0,0.0,0,0
224,2008-08-12,23.0,30.5,26.2,82.0,0.0,2.3,0.0,1.0,0,0
225,2008-08-13,22.0,29.0,24.7,92.0,0.0,0.4,2.0,0.0,0,0
226,2008-08-14,23.0,32.1,25.6,80.0,33.7,7.7,2.0,0.0,0,0
227,2008-08-15,21.0,30.8,24.9,88.0,7.2,4.2,2.0,1.0,0,0
228,2008-08-16,21.0,32.1,25.7,80.0,3.6,7.2,2.0,1.0,0,0
229,2008-08-17,21.0,32.0,25.8,78.0,0.0,8.0,1.0,1.0,0,0
230,2008-08-18,22.0,31.0,24.7,82.0,0.0,4.9,1.0,1.0,0,0
231,2008-08-19,22.0,32.1,26.0,78.0,0.5,5.1,0.0,0.0,0,0
232,2008-08-20,22.0,30.8,25.3,84.0,0.0,4.2,2.0,0.0,0,0
233,2008-08-21,21.0,32.4,25.9,78.0,0.0,7.4,1.0,1.0,0,0
234,2008-08-22,22.0,32.6,25.9,77.0,0.0,7.4,1.0,1.0,0,0
235,2008-08-23,22.0,31.9,26.3,78.0,0.0,5.1,2.0,1.0,0,0
236,2008-08-24,21.0,31.6,24.4,88.0,29.4,6.6,3.0,0.0,0,0
237,2008-08-25,22.0,31.6,25.1,87.0,32.7,6.3,1.0,1.0,0,0
238,2008-08-26,22.0,31.5,25.9,82.0,4.0,6.2,1.0,0.0,0,0
239,2008-08-27,22.0,32.6,26.2,80.0,0.0,7.5,2.0,0.0,0,0
240,2008-08-28,21.0,32.1,25.1,86.0,0.0,6.1,2.0,0.0,0,0
241,2008-08-29,22.0,31.1,24.3,90.0,27.6,5.3,2.0,1.0,0,0
242,2008-08-30,22.0,30.3,25.5,85.0,11.0,2.1,1.0,1.0,0,0
243,2008-08-31,22.0,30.6,25.1,88.0,11.0,2.7,2.0,0.0,0,0
244,2008-09-01,22.0,30.7,25.2,86.0,18.7,4.3,0.0,0.0,0,0
245,2008-09-02,22.0,32.2,26.2,83.0,0.3,5.6,2.0,1.0,0,0
246,2008-09-03,21.0,31.9,26.3,80.0,0.0,4.7,4.0,0.0,0,0
247,2008-09-04,21.0,33.3,25.7,81.0,0.0,7.3,2.0,1.0,0,0
248,2008-09-05,21.0,32.9,25.2,84.0,49.6,7.6,3.0,1.0,0,0
249,2008-09-06,23.0,32.7,25.6,76.0,0.7,7.0,3.0,1.0,0,0
250,2008-09-07,23.0,33.0,26.7,71.0,0.0,6.1,2.0,1.0,0,0
251,2008-09-08,22.0,31.7,26.8,76.0,0.0,6.9,2.0,1.0,0,0
252,2008-09-09,21.0,31.2,25.8,84.0,6.1,5.3,5.0,1.0,0,0
253,2008-09-10,22.0,32.2,24.4,88.0,5.1,5.7,8.0,1.0,0,0
254,2008-09-11,23.0,31.6,26.0,85.0,11.8,3.9,2.0,1.0,0,0
255,2008-09-12,23.0,32.0,26.5,82.0,10.0,5.3,0.0,1.0,0,0
256,2008-09-13,22.0,31.4,26.7,82.0,0.0,1.0,1.0,0.0,0,0
257,2008-09-14,21.0,31.4,24.8,88.0,0.0,2.9,2.0,0.0,0,0
258,2008-09-15,21.0,33.7,26.4,72.0,7.2,7.9,3.0,0.0,0,0
259,2008-09-16,22.0,32.6,26.4,75.0,0.0,8.0,4.0,1.0,0,0
260,2008-09-17,22.0,33.6,27.2,78.0,0.2,8.0,2.0,1.0,0,0
261,2008-09-18,23.0,34.2,26.8,76.0,0.0,7.7,2.0,1.0,0,0
262,2008-09-19,23.0,33.8,27.2,75.0,1.25,7.8,2.0,1.0,0,0
263,2008-09-20,23.0,34.0,27.5,72.0,2.5,8.0,1.0,1.0,0,0
264,2008-09-21,21.0,34.0,25.5,84.0,0.0,7.4,3.0,1.0,0,0
265,2008-09-22,21.0,33.4,25.0,81.0,12.0,7.8,4.0,1.0,0,0
266,2008-09-23,21.0,33.7,26.2,78.0,15.4,8.0,2.0,2.0,0,0
267,2008-09-24,19.0,33.7,25.5,81.0,1.3,7.2,4.0,1.0,0,0
268,2008-09-25,22.0,32.6,24.8,81.0,80.2,8.0,2.0,1.0,0,0
269,2008-09-26,21.0,32.8,25.5,82.0,2.0,7.2,1.0,1.0,0,0
270,2008-09-27,22.0,33.2,26.1,77.0,0.4,8.0,2.0,1.0,0,0
271,2008-09-28,23.0,33.0,25.4,84.0,0.0,7.1,2.0,2.0,0,0
272,2008-09-29,22.0,33.1,25.6,85.0,24.5,8.0,3.0,1.0,0,0
273,2008-09-30,19.0,33.0,25.8,78.0,95.5,8.0,3.0,1.0,0,0
274,2008-10-01,19.0,32.0,26.4,87.0,59.1,6.6,3.0,1.0,0,1
275,2008-10-02,20.0,32.1,26.2,86.0,14.7,7.1,1.0,1.0,0,1
276,2008-10-03,23.0,33.4,27.6,82.0,0.0,7.0,1.0,0.0,0,1
277,2008-10-04,22.0,33.4,27.6,85.0,13.6,6.5,4.0,1.0,0,1
278,2008-10-05,22.0,31.2,26.7,88.0,27.2,3.8,3.0,1.0,0,1
279,2008-10-06,21.0,31.6,26.1,89.0,9.5,7.5,2.0,0.0,0,1
280,2008-10-07,21.0,31.8,26.9,88.0,17.3,6.6,2.0,1.0,0,1
281,2008-10-08,21.0,31.6,27.0,84.0,6.0,5.2,2.0,1.0,0,1
282,2008-10-09,22.0,32.2,27.0,81.0,0.0,4.8,2.0,0.0,0,1
283,2008-10-10,22.0,33.6,26.3,82.0,3.8,7.2,2.0,1.0,0,1
284,2008-10-11,23.0,31.5,25.7,92.0,7.6,5.1,2.0,0.0,0,1
285,2008-10-12,23.0,32.2,27.6,82.0,9.6,7.4,1.0,1.0,0,1
286,2008-10-13,23.0,33.2,26.6,80.0,0.0,4.9,2.0,0.0,0,1
287,2008-10-14,23.0,33.5,27.7,82.0,0.5,6.7,2.0,1.0,0,1
288,2008-10-15,23.0,33.8,27.2,78.0,0.0,8.0,2.0,0.0,0,1
289,2008-10-16,23.0,32.6,25.3,84.0,17.45,6.6,3.0,1.0,0,1
290,2008-10-17,21.0,33.0,27.2,90.0,34.9,7.7,3.0,0.0,0,1
291,2008-10-18,22.0,33.2,27.7,85.0,37.5,7.6,4.0,1.0,0,1
292,2008-10-19,23.0,33.3,26.3,82.0,1.0,5.8,2.0,1.0,0,1
293,2008-10-20,23.0,33.6,26.5,84.0,2.4,7.6,1.0,1.0,0,1
294,2008-10-21,24.0,33.1,27.1,80.0,19.7,7.7,4.0,1.0,0,1
295,2008-10-22,23.0,32.6,27.8,80.0,15.899999999999999,7.0,2.0,1.0,0,1
296,2008-10-23,23.0,30.2,26.3,92.0,12.1,0.7,4.0,1.0,0,1
297,2008-10-24,23.0,28.6,26.0,92.0,5.5,0.0,1.0,0.0,0,1
298,2008-10-25,22.0,31.4,26.5,86.0,2.75,3.0,2.0,0.0,0,1
299,2008-10-26,22.0,32.3,27.2,82.0,0.0,5.5,2.0,1.0,0,1
300,2008-10-27,22.0,31.8,27.3,86.0,3.0,3.9,4.0,1.0,0,1
301,2008-10-28,22.0,31.2,27.5,85.0,0.4,3.5,2.0,1.0,0,1
302,2008-10-29,21.0,28.8,24.7,78.0,43.2,0.5,2.0,2.0,0,1
303,2008-10-30,20.0,31.7,25.7,82.0,0.1,5.3,2.0,1.0,0,1
304,2008-10-31,22.0,32.2,26.9,78.0,0.0,7.0,3.0,1.0,0,1
