Tanggal;Temperatur minimum (°C);Temperatur maksimum (°C);Temperatur rata-rata (°C);Kelembapan rata-rata (%);Curah hujan (mm);Lamanya penyinaran matahari (jam);Kecepatan angin maksimum (m/s);Kecepatan angin rata-rata (m/s);Label;season_Musim Hujan
2008-03-18 00.00.00;21;31.8;24.4;90;59.3;5.8;3;1;0;1
2008-03-19 00.00.00;21;31.9;24.5;89;23.1;5.4;2;1;0;1
2008-03-20 00.00.00;22;30.3;25;93;10.7;3.6;0;0;0;1
2008-03-21 00.00.00;22;30.8;25.2;90;8.5;2.9;2;0;0;1
2008-03-22 00.00.00;21;31.1;24.6;88;13;4.3;0;0;0;1
2008-03-23 00.00.00;22;29.7;25.4;82;37.4;1.6;5;1;0;1
2008-03-24 00.00.00;22;31.3;25.2;83;0.5;3.8;3;2;0;1
2008-03-25 00.00.00;22;30.5;25.1;89;15;3.6;3;1;0;1
2008-03-26 00.00.00;22;32;26.4;76;1.7;7.4;4;0;0;1
2008-03-27 00.00.00;23;30.6;26.1;82;0;4.5;5;2;0;1
2008-03-28 00.00.00;23;31.2;26.3;80;4.4;2.3;3;1;0;1
2008-03-29 00.00.00;22;33;27.3;78;0;6.7;2;1;0;1
2008-03-30 00.00.00;24;32.6;26.2;84;0;3.9;5;1;0;1
2008-03-31 00.00.00;22;31.5;25.1;87;0.5;4.6;3;1;0;1
2008-04-01 00.00.00;21;31.9;24.9;86;48.5;5.4;2;1;0;0
2008-04-02 00.00.00;21;32.3;25.2;84;5.5;6.8;2;1;0;0
2008-04-03 00.00.00;21;32.8;26;79;0.4;8;3;1;0;0
2008-04-04 00.00.00;22;31.4;26;82;0;6.1;4;1;0;0
2008-04-05 00.00.00;22;33.6;25.1;83;0;7.8;5;1;0;0
2008-04-06 00.00.00;22;32.4;24.9;87;6.8;6;4;1;0;0
2008-04-07 00.00.00;21;32.8;25.9;81;67.5;7.6;4;1;0;0
2008-04-08 00.00.00;21;31.8;25.7;85;34.5;6.3;2;2;0;0
2008-04-09 00.00.00;22;32.2;25.9;85;6;6.6;3;1;0;0
2008-04-10 00.00.00;22;32.3;25;89;5;5.4;3;1;0;0
2008-04-11 00.00.00;23;32.2;25.1;90;2.9;5.5;5;0;0;0
2008-04-12 00.00.00;22;28;23.9;94;51;0.5;2;1;1;0
2008-04-13 00.00.00;22;30.6;25.5;87;49.2;5.9;2;0;0;0
2008-04-14 00.00.00;23;30.4;24.6;90;0;2.6;2;0;0;0
2008-04-15 00.00.00;22;31.5;25.6;84;6.8;5.8;3;0;0;0
2008-04-16 00.00.00;23;31;25.3;89;41.7;2.3;5;1;0;0
2008-04-17 00.00.00;22;31.8;26.5;84;45.5;6.6;1;0;0;0
2008-04-18 00.00.00;23;32.2;25.4;88;0;5.8;5;0;0;0
2008-04-19 00.00.00;23;30.5;25.7;88;43.6;3.5;2;1;0;0
2008-04-20 00.00.00;22;31.2;25.4;86;0;3.6;4;0;0;0
2008-04-21 00.00.00;23;30.6;25.8;84;29.1;1.3;2;1;0;0
2008-04-22 00.00.00;23;28.2;25.5;92;7.9;1.2;0;1;0;0
2008-04-23 00.00.00;23;28.8;25.8;90;12.5;0.9;1;0;0;0
2008-04-24 00.00.00;22;30;24.7;90;0.2;3.8;2;0;0;0
2008-04-25 00.00.00;23;31.4;26;86;0;5.7;2;0;0;0
2008-04-26 00.00.00;23;31.7;26.3;84;0;6.3;1;1;0;0
2008-04-27 00.00.00;23;32.6;26.8;84;14;8;3;0;0;0
2008-04-28 00.00.00;23;32.7;27.1;82;0;6.8;2;0;0;0
2008-04-29 00.00.00;23;32.5;26;86;0;6.6;4;1;0;0
2008-04-30 00.00.00;23;32.4;25.3;89;48.4;7.1;2;1;0;0
2008-05-01 00.00.00;22;30.4;25.5;88;17;2.5;2;1;0;0
2008-05-02 00.00.00;23;31.3;26.3;82;0;4.8;1;0;0;0
2008-05-03 00.00.00;23;32.9;26.7;81;0;6.4;2;0;0;0
2008-05-04 00.00.00;24;32.6;26.2;87;1.5;6;5;1;0;0
2008-05-05 00.00.00;23;31.7;26.4;83;2.6;7.6;2;1;0;0
2008-05-06 00.00.00;23;32.1;26.5;83;0;3;2;1;0;0
2008-05-07 00.00.00;22;31.4;24.9;86;70;6.4;2;1;0;0
2008-05-08 00.00.00;22;32.2;25.8;83;0;7.2;4;1;0;0
2008-05-09 00.00.00;22;32.1;26.4;77;0;8;2;1;0;0
2008-05-10 00.00.00;22;31.7;25.7;82;0;6.7;3;1;0;0
2008-05-11 00.00.00;20;31.7;24.9;74;1.3;6.4;2;1;0;0
2008-05-12 00.00.00;20;31.9;24.9;74;0;7.1;2;1;0;0
2008-05-13 00.00.00;20;30.8;24.9;79;0;6.5;2;1;0;0
2008-05-14 00.00.00;22;31.6;26.1;79;6.4;6.7;3;1;0;0
2008-05-15 00.00.00;22;30.2;25.4;85;24.7;5;2;1;0;0
2008-05-16 00.00.00;21;32.2;25.6;80;0;7.8;2;0;0;0
2008-05-17 00.00.00;21;31.4;25.6;82;1;7.3;2;1;0;0
2008-05-18 00.00.00;22;31.8;26.2;80;0;7.2;2;0;0;0
2008-05-19 00.00.00;21;32.2;26;82;43.5;7.9;2;1;0;0
2008-05-20 00.00.00;23;31.6;25.9;89;41.6;5.6;2;1;0;0
2008-05-21 00.00.00;23;31.2;26;86;24.1;4.8;3;0;0;0
2008-05-22 00.00.00;22;32;25.8;85;0.4;6.2;2;0;0;0
2008-05-23 00.00.00;23;31.8;26.5;85;9.5;8;1;1;0;0
2008-05-24 00.00.00;23;31.9;25.6;86;0;7.2;8;0;0;0
2008-05-25 00.00.00;22;31.6;25.6;84;23.5;6.2;1;1;0;0
2008-05-26 00.00.00;21;32.3;26.1;78;0;7.7;1;0;0;0
2008-05-27 00.00.00;20;31.5;25.6;84;0;5.8;3;0;0;0
2008-05-28 00.00.00;22;32.2;26;80;0;7.3;2;1;0;0
2008-05-29 00.00.00;22;32.6;26.6;80;0;7.9;3;0;0;0
2008-05-30 00.00.00;22;32.2;26.2;79;0;7.3;3;0;0;0
2008-05-31 00.00.00;22;31;24.7;87;0;5.1;3;0;0;0
2008-06-01 00.00.00;22;30.1;25.1;88;45.5;6.1;2;1;0;0
2008-06-02 00.00.00;22;31.5;26;81;0;7.3;2;0;0;0
2008-06-03 00.00.00;22;31.8;25.9;83;0;6.9;2;0;0;0
2008-06-04 00.00.00;22;32.2;25.4;84;0.1;6.3;2;1;0;0
2008-06-05 00.00.00;21;32.7;26.1;80;0;7.6;3;1;0;0
2008-06-06 00.00.00;22;31.2;25.4;84;0;6.9;3;1;0;0
2008-06-07 00.00.00;21;31.8;25.5;83;24.3;7.8;2;1;0;0
2008-06-08 00.00.00;21;30.5;25.3;83;0;4.3;2;0;0;0
2008-06-09 00.00.00;21;31.8;25.2;80;0;5.6;2;0;0;0
2008-06-10 00.00.00;22;32.4;25;85;0.1;3.8;8;1;0;0
2008-06-11 00.00.00;22;30.8;25.5;85;33;2.7;1;1;0;0
2008-06-12 00.00.00;23;31.2;25.8;88;0;5.4;1;0;0;0
2008-06-13 00.00.00;22;31.3;24.9;90;34;4.9;3;1;0;0
2008-06-14 00.00.00;22;28.5;25.1;90;1.7;0.5;3;1;0;0
2008-06-15 00.00.00;23;29.6;25.2;90;1;0.9;2;0;0;0
2008-06-16 00.00.00;23;31.7;26.4;84;3.9;7.5;2;0;0;0
2008-06-17 00.00.00;24;32;26.6;84;0;6.9;3;0;0;0
2008-06-18 00.00.00;22;31.6;25.9;83;0.4;7.1;2;1;0;0
2008-06-19 00.00.00;22;31.7;25.6;82;0;7.5;2;0;0;0
2008-06-20 00.00.00;20;31.6;24.4;81;1.4;7.4;2;1;0;0
2008-06-21 00.00.00;21;31.5;24.9;81;0;8;1;0;0;0
2008-06-22 00.00.00;21;30.7;24.8;82;4.8;7.7;2;0;0;0
2008-06-23 00.00.00;22;32.2;26.2;78;0.1;8;2;0;0;0
2008-06-24 00.00.00;21;31.6;25.2;83;12;7.6;2;0;0;0
2008-06-25 00.00.00;22;31.8;26.1;79;0;7.9;1;0;0;0
2008-06-26 00.00.00;22;32;25.9;80;0;7.5;2;1;0;0
2008-06-27 00.00.00;22;32.5;26.2;82;0;7.3;3;1;0;0
2008-06-28 00.00.00;22;31.5;26.2;83;9.2;7.8;2;1;0;0
2008-06-29 00.00.00;22;32.1;26.3;83;0;7.2;3;0;0;0
2008-06-30 00.00.00;21;32;25.6;80;0;7.4;1;1;0;0
2008-07-01 00.00.00;22;32;25.8;82;0;7.5;2;0;0;0
2008-07-02 00.00.00;22;31.9;25.7;78;0;7.7;1;1;0;0
2008-07-03 00.00.00;21;32;25.5;75;0;8;2;0;0;0
2008-07-04 00.00.00;21;31.6;24.6;84;0;5;3;0;0;0
